,accuracy,precision,recall,f1,auc
LogisiticRegression,0.874,0.384,0.767,0.512,0.825
KNeighborsClassifier,0.843,0.329,0.738,0.454,0.796
SupportVectorClassifier,0.87,0.416,0.611,0.45,0.753
DecisionTreeClassifier,0.862,0.38,0.588,0.427,0.738
RandomForestClassifier,0.874,0.417,0.573,0.449,0.738
GaussianNB,0.872,0.404,0.586,0.448,0.742
XGBClassifier,0.874,0.405,0.606,0.46,0.753
SGDClassifier,0.86,0.355,0.747,0.48,0.809
RidgeClassifier,0.873,0.382,0.747,0.505,0.816
PassiveAggressiveClassifier,0.834,0.332,0.747,0.454,0.795
Perceptron,0.807,0.301,0.743,0.42,0.778
NearestCentroid,0.884,0.397,0.662,0.496,0.784
AdaBoostClassifier,0.851,0.334,0.735,0.459,0.798
GradientBoostingClassifier,0.869,0.375,0.736,0.496,0.809
BaggingClassifier,0.884,0.416,0.661,0.498,0.783
ExtraTreesClassifier,0.896,0.47,0.614,0.509,0.768
Best_LogisticRegression,0.863,0.363,0.782,0.496,0.826
Best_RidgeClassifier,0.886,0.411,0.749,0.531,0.824
Best_GradientBoostingClassifier,0.878,0.391,0.74,0.512,0.816
Best_XGBClassifier,0.886,0.411,0.729,0.525,0.815
Best_RandomForestClassifier,0.894,0.429,0.695,0.53,0.804
Best_LogisticRegression_WOPCA,0.878,0.396,0.791,0.528,0.838
Best_RidgeClassifier_WOPCA,0.894,0.438,0.786,0.562,0.845
Best_GradientBoostingClassifier_WOPCA,0.924,0.552,0.648,0.596,0.799
Best_XGBClassifier_WOPCA,0.929,0.581,0.634,0.606,0.795
Best_RandomForestClassifier_WOPCA,0.911,0.488,0.699,0.575,0.815
LogisticRegression_Test,0.863,0.364,0.781,0.496,0.826
LogisticRegression_Test_WOPCA,0.874,0.389,0.792,0.521,0.837
RidgeClassifier_Test,0.89,0.424,0.764,0.545,0.833
RidgeClassifier_Test_WOPCA,0.896,0.443,0.79,0.568,0.848
GradientBoostingClassifier_Test,0.939,0.741,0.457,0.565,0.721
GradientBoostingClassifier_Test_WOPCA,0.942,0.732,0.524,0.611,0.753
XGBClassifier_Test,0.939,0.743,0.457,0.566,0.721
XGBClassifier_Test_WOPCA,0.943,0.74,0.517,0.609,0.75
RandomForestClassifier_Test,0.929,0.843,0.214,0.341,0.605
RandomForestClassifier_Test_WOPCA,0.939,0.765,0.427,0.548,0.707
